Buchungsdatum,Menge,Mengeneinheit,Material,Werk,Betrag
2024-01-05,500,L,Diesel HSD,PLANT_BLR,42500
2024-01-12,320,L,Petrol MS Fuel,PLANT_MUM,27200
2024-01-18,1200,L,Diesel HSD,PLANT_DEL,102000
2024-01-25,80,M3,Natural Gas PNG,PLANT_HYD,6400
2024-02-03,450,L,Diesel HSD,PLANT_BLR,38250
2024-02-10,200,GAL,Diesel HSD,PLANT_CHN,20300
2024-02-15,600,L,LPG Liquefied Petroleum,PLANT_MUM,51000
2024-02-22,150,L,Petrol MS Fuel,PLANT_DEL,12750
2024-03-01,900,L,Diesel HSD,PLANT_BLR,76500
2024-03-08,50,M3,Natural Gas CNG,PLANT_HYD,4000
2024-03-15,1500,L,Diesel HSD,PLANT_DEL,127500
2024-03-20,250,L,LPG Liquefied Petroleum,PLANT_CHN,21250
2024-04-05,700,L,Diesel HSD,PLANT_BLR,59500
2024-04-10,180,L,Petrol MS Fuel,PLANT_MUM,15300
2024-04-18,0,L,Diesel HSD,PLANT_DEL,0
2024-04-25,200000,L,Diesel HSD,PLANT_BLR,17000000
